title,show_id,type,director,cast,country,release_year,rating,duration,listed_in,description,platform
World Food Championships,s72,TV Show,Sin Dato,Tiffany Derry,,2014,TV-PG,1,TV Shows,World Food Championships invites the champions from the biggest and best food competitions around the world into a single high-stakes culinary showdown for hundreds of thousands of dollars.,amazon
WordWorld,s73,TV Show,Sin Dato,,,2007,TV-G,1,Kids,The loveable WordFriends take children on adventures in a world of words where they encounter all sorts of situations that can only be solved by building a word!,amazon
WordGirl,s75,TV Show,Sin Dato,,,2010,TV-G,1,Kids,WordGirl and her sidekick Captain Huggy Face take down quirky villains in every action-packed episode.,amazon
Wonders of Mexico,s76,TV Show,Sin Dato,Anthony Mendez,,2018,TV-G,1,"Documentary, Special Interest","Mexico is rich in culture and ablaze with color. Discover the hidden underworlds, diversity of life, and a mosaic of vast landscapes that create a festival of life. Includes: Forests of the Maya, Mountain Worlds, and Burning North.",amazon
Wonder Balls,s79,TV Show,Sin Dato,,,2015,ALL,1,"Animation, Kids","Enjoy parades of unique and fun ball characters! Wonder Balls bring the best performances to the stage. When they meet, they start playing right away. Brush Ball, Sponge Ball, Water Ball, Accordion Ball, Castanets Ball, Xylophone Ball and more join to complete stories of vivacious arts, exciting music and joyful play.",amazon
Wishenpoof,s85,TV Show,Sin Dato,"Addison Holley, Hope Cassandra, Scott McCord, Katie Griffin, Ethan Tavares, Devan Cohen, Roanna Cochrane, Millie Davis, Jason Priestley, Saara Chaudry, Kyle Lomas, Ava Priestley, Johnny Orlando, Kathy Laskey, Matthew MacFadzean, TJ McGibbon, Elizabeth Hanna, Caissie Levy, Ava Close, Nissae Isen, Jeff Geddis, Kristin Fairlie",United States,2019,ALL,4,Kids,"Bianca is just like any other little girl, except for one teensy little thing.  Bianca has Wish Magic, so she can make wishes come true! Whether she’s at home in Wish World, at the Willow Tree with her fairy friends, or at school with her non-fairy friends, Bianca and her hilarious teddy bear sidekick Bob navigate day-to-day problems.",amazon
Wisconsin Unexplained,s86,TV Show,Sin Dato,Michael Butt,,2018,16+,1,TV Shows,"Wisconsin is home to the Strange and unusual. UFO's Aliens, Ghosts, Spiritual encounters, demons, monsters. Wisconsin is a land of all of these legends. Wisconsin unexplained will share the stories of eye witnesses who lived through the unexplained.",amazon
Wipeout Canada,s87,TV Show,Sin Dato,"Ennis Esmer, Jonathan Torrens, Jessica Phillips",,2011,ALL,1,"Comedy, Documentary, Unscripted","Daring Canadian contestants are in pursuit of cash prizes on an extreme obstacle course designed to provide the most spectacular spills, face plants, and splashdowns.",amazon
Wipeout Australia,s88,TV Show,Sin Dato,"James Brayshaw, Josh Lawson, Kelly Landry",,2009,7+,1,"Comedy, Documentary, Unscripted","Based on the US game show of the same name, the Australian Wipeout is filmed in Argentina, where Aussie contestants battle ""the world's biggest obstacle course in order to win AUD $20,000."" Hosted by actor Josh Lawson and sports presenter James Brayshaw, the series will also feature Kelly Landry as an on-location reporter.",amazon
Wildest Places,s99,TV Show,Sin Dato,,,2019,ALL,3,"Documentary, Special Interest","In terms of rainfall, the Antarctic is the driest place on earth, yet it holds more than two-thirds of the planet's fresh water. With plunging temperatures and powerful winds, our southernmost land mass is an unrelenting habitat. Nevertheless, life persists, and extraordinary creatures answer the call of the seasons. This frozen tundra is the Wildest Antarctic.",amazon
Wild North,s101,TV Show,Sin Dato,,,2014,7+,1,"Documentary, Special Interest","""Wild North"" moves through three biotopes; vast forests, rugged coastline and interior highlands shaped by shifting ice ages. These landscapes resonate deep within the Scandinavian soul, floating into view like illustrations from shared fairy tales. And so do the iconic animal species that feature strongly in each programme, stirring ancestral memories and reaffirming our connection with the land.",amazon
Wild Kratts,s102,TV Show,Sin Dato,"Chris Kratt, Martin Kratt, Athena Karkanis, Jonathan Malen, Heather Bambrick, Zachary Bennett, Eva Almos, Cory Doran, Gavin Kratt, Aidan Kratt, Ronan Kratt, Addison Holley, Maya Lowe, Paige Roughely, Emilia McCarthy, Zoe Fraser, Rachel Marcus, Nolan Kratt, Julie Lemieux, Amariah Faulkner, Christian Martyn, Jacob Ewaniuk, Jaclyn Forbes, Ian Hanson, Aiden Kratt, Charles Vandervaart, Jenna Warren",,2011,TV-Y,1,Kids,"The real-life Chris and Martin introduce each Wild Kratts episode with a live action segment that imagines what it would be like to experience a never- before-seen wildlife moment, and asks, ""What if...?"" The Kratt brothers transition into animation and the adventure begins, bringing early-elementary school children into the secret lives of extraordinary creatures, many of which have never been animated before - including proboscis monkeys, draco lizards and caracals!",amazon
Wild Boys,s105,TV Show,Sin Dato,"Daniel MacPherson, Michael Dorman, Alexander England, Zoe Ventoura, Anna Hutchison, Jeremy Sims, Nathaniel Dean, David Field, Caroline Brazier, Krew Boylan",,2011,13+,1,"Drama, Western","Wild Boys is an Australian television period drama series set in Australia 1860s, in and around the fictional town of Hopetoun. The show follows a gang of bushrangers as they stage hold-ups determined to keep ahead of the troopers or wind up at the end of a noose.",amazon
Why I Ran,s107,TV Show,Sin Dato,,,2008,TV-PG,1,TV Shows,"Across the country, real-life high-speed police chases rivet viewers to their TV screens. We've heard the eyewitness accounts, seen the police point of view, but no one has ever been able to go inside the mind of the driver, until now.",amazon
Whitechapel,s113,TV Show,Sin Dato,"Rupert Penry-Jones, Phil Davis, Steve Pemberton, Claire Rushbrook",United Kingdom,2013,TV-14,4,"Drama, Suspense","This season sees the team confronted by twisted, gothic murders that reach right into their fears and superstitions. Someone is killing suspected witches; flayed bodies suggest someone is more interested in the victims' skin than in their death; and the sewers of Whitechapel threaten the team with an additional layer of horror. Who or what is really behind the evil that surfaces in Whitechapel?",amazon
White Dragon,s116,TV Show,Sin Dato,"John Simm, Anthony Wang, Emilia Fox, Katie Leung, Anthony Hayes, Tim McInnerny, Tom Wu, Kae Alexander, Jason Wong, Thomas Chaanhing, Ryan McKen, Magdalene Bird, Max Keeble, Elliott Brough, Nick Reed, David Keeling, Rosalind Halstead, John Moraitis, Nicholas Bailey, Christophe R. Tek, Chike Chan, Arthur Lee, Daniel York, Tony Ho, Orion Lee",,2019,16+,1,Drama,"Professor Jonah Mulray’s life is turned upside down when he discovers his wife, Megan Harris, has been killed in a car-crash in Hong Kong.",amazon
What's Up In Space: The Solar System For Kids,s129,TV Show,Sin Dato,,,2010,TV-G,1,"Documentary, Kids, Special Interest","What's Up In Space? is a refreshing series that introduces young learners to the solar system. These fascinating topics are presented at a developmentally appropriate level, using a combination of live action, colorful illustrations and computer created animations. Each program answers important questions in a fun, innovative style. An award-winning series used in classrooms and households.",amazon
What's My Line?,s130,TV Show,Sin Dato,John Daly,,1955,TV-G,1,Unscripted,Four celebrity panelists try to guess the occupation of a guest by asking questions that result in yes or no answers.,amazon
What Went Wrong: Countdown to Catastrophe,s131,TV Show,Sin Dato,John Young,,2019,13+,1,"Documentary, Special Interest","This series dives deep into six catastrophic events that stunned the world, a high adrenaline series about the interface between man and machine. Each disaster is retold by survivors and first responders, but eventually turns its focus on the machines, the high tech infallible constructions that suffered catastrophic failure because of engineering errors that were entirely preventable.",amazon
What The Constitution Means To Me,s132,TV Show,Sin Dato,"Heidi Schreck, Mike Iveson, Rosdely Ciprian, Thursday Williams",,2020,16+,1,Comedy,"Fifteen-year-old Heidi Schreck earned her college tuition by winning Constitutional debate competitions across the United States. In this hilarious, hopeful, and achingly human show, Heidi resurrects her teenage self in order to trace the profound relationship between four generations of women and the founding document that shaped their lives.",amazon
WGC-Dell Technologies Match Play Reveal Show,s135,TV Show,Sin Dato,,,2021,TV-NR,1,Sports,"Host Jonathan Coachman and PGATOUR.COM Senior Writer Ben Everill break down the brackets for the 2021 World Golf Championships Dell Technologies Match Play at Austin Country Club with some special guests, including defending champion Kevin Kisner.",amazon
Wendy,s138,TV Show,Sin Dato,"Christa Clahane, Abbe Hoekstra, Zena Drive, Kyle Orzeck",,2016,ALL,1,"Animation, Kids","The series focuses on Wendy and the extraordinary life she leads in her equestrian-centric world. At 15, she's already an accomplished show-jumper. Lucky for her, she lives at Rose Valley - the stables and riding school owned and operated by her father - where there are always plenty of horses and drama galore!",amazon
WellieWishers,s139,TV Show,Sin Dato,,,2017,ALL,2,Kids,"Join the WellieWishers™ as they imagine, sing, dream and discover just what it takes to be kind. When the WellieWishers step into their colorful garden boots, they’re ready for anything – stomping in muddy puddles, dancing with fireflies and navigating the ins and outs of friendship through play and imagination.",amazon
Welcome to the Ballroom,s141,TV Show,Sin Dato,Shinba Tsuchiya | Ayane Sakura | Nobuhiko Okamoto | Kentaro Tomita | Sumire Morohoshi,,2017,TV-NR,1,TV Shows,"“Dance is a passion!” Tatara is an average middle school student with no particular dreams until an unexpected incident draws him into the fascinating world of ballroom dancing. “If I can just find one thing to be passionate about…”He dives into the world of dance, believing it’s his opportunity to change.",amazon
Wayne (4K UHD),s146,TV Show,Sin Dato,"Mark McKenna, Ciara Bravo, Jon Champagne",,2019,TV-MA,1,Drama,"Wayne is the gritty and sometimes bloody tale of WAYNE (Mark McKenna), a 16 year-old Dirty Harry with a heart-of-gold, who sets out on a dirt bike to Ocala, Florida with his new crush DEL (Ciara Bravo) to take back the 1979 Trans-Am that was stolen from his father before he died.",amazon
Watch the Game Like Never Before with X-Ray,s150,TV Show,Sin Dato,,,2020,TV-NR,1,TV Shows,"X-Ray delivers the most advanced viewing experience available on your Fire TV, Web, iOS and Android mobile devices. Click up on your remote or just turn your mobile device to access next generation live stats, replays on-demand and more!",amazon
Wallace & Gromit's Cracking Contraptions,s158,TV Show,Sin Dato,Peter Sallis,,2002,TV-NR,1,"Animation, Comedy, Kids","With multiple Academy Awards under their belt, Wallace and Gromit are one the of the best-loved comic double-acts in the world. Fans of their TV specials and feature films will not want to miss these rarely-seen short films, each of which introduces a new invention from Wallace intended to make everyday life a little easier such as the Autochef, the Soccamatic, and the Snoozatron. Predictably enough, these mini-masterpieces never perform quite as expected, and it is down to Wallace's long-suffering dog Gromit to pick up the pieces.",amazon
Wallace & Gromit: The Complete Collection,s159,TV Show,Sin Dato,Peter Sallis,,2008,TV-NR,1,"Animation, Comedy, Kids","Academy Award winning eccentric inventor Wallace, and his faithful, four-legged friend Gromit have specially re-mastered all four of their smashing half-hour specials.",amazon
Wake In Fright,s163,TV Show,Sin Dato,"Sean Keenan, Alex Dimitriades, Caren Pistorius, Gary Sweet, Anna Samson, Lee Jones, Jada Alberts",,2017,16+,1,"Action, Drama, Suspense","A young schoolteacher finds himself marooned in a small mining town in the outback, where a string of dangerous events render him a broken, desperate man.",amazon
Wakaalat From Home,s164,TV Show,Sin Dato,"Sumeet Vyas, Nidhi Singh, Kubbra Sait, Gopal Datt, Anuvab Pal, Rit Bahadur Bayalkoti, Dipesh Bhujal, Akarsh Khurana, Shifu - Cat",,2020,16+,1,Comedy,"WFH (Wakaalat From Home) is the story of Sujin and Radhika’s divorce. It is not amicable with claims and counterclaims. The judge decides, this not being a critical case, to move their court hearing to Zoom. Over 10 court sessions, while the lockdown ensues, their divorce case will be heard, while their lawyers have designs of their own.",amazon
Wahlburgers,s170,TV Show,Sin Dato,"Mark Wahlberg, Donnie Wahlberg, Paul Wahlberg",,2017,TV-PG,7,"Documentary, Drama, Unscripted",Wahlburgers follows the Wahlbergs in the city that witnessed their rags-to-riches story as they plan to make their restaurant a success in Boston and beyond.,amazon
Waco: Madman or Messiah,s171,TV Show,Sin Dato,,,2018,TV-14,1,"Documentary, Special Interest",The raid of Mount Carmel develops into a 51-day stand-off between the Branch Davidians and the FBI. A direct line of communication is established between FBI negotiators and David Koresh on the inside.,amazon
Voyage of the Continents,s172,TV Show,Sin Dato,,,2013,13+,1,"Documentary, Special Interest","This extraordinary series is a sweeping account of the rise of Earth's continents. They are the product of a grand waltz of plate tectonics and the continual evolution of Earth's crust. As landmasses assemble and separate, they fuel volcanoes and spark earthquakes, building mountains and tearing valleys. We see the Earth, eons in the making, through the eyes of geologists and other scientists.",amazon
Vocabulary and Numbers with Harry the Bunny and Friends,s177,TV Show,Sin Dato,,,2018,ALL,2,TV Shows,"Harry the Bunny and Larry the parrot laugh, play and learn all about pros who can help us in everyday life.",amazon
VINLAND SAGA,s184,TV Show,Sin Dato,"Shizuka Ishigami, Yuto Uemura, Kenichiro Matsuda, Naoya Uchida, Kensho Ono",,2019,TV-NR,1,Anime,"Around the end of the millennium, Viking, the mightiest but atrocious tribe, had been outbreaking everywhere.Thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. He was seeking the land of reverie called Vinland.This is the story of a true warrior in an age of turmoil.",amazon
Vikings,s186,TV Show,Sin Dato,"Alex Høgh, Alexander Ludwig, Jasper Pääkkönen",,2020,TV-14,9,"Action, Drama","Season six returns following the battle between brothers which has left Bjorn as the new leader of Kattegat. But Bjorn struggles to fill his late father’s shoes. And Ivar meets his match in Prince Oleg, a ruthless and unpredictable Russian ruler!",amazon
Victorian Farm: Christmas Special,s188,TV Show,Sin Dato,Stephen Noonan,,2009,ALL,1,TV Shows,"Filmed in and around the Acton Scott Estate in Shropshire, Ruth, Peter and Alex return to tackle an array of new farming tasks, to explore life in the wider working countryside and to discover how the Victorians created the celebration of Christmas as we know it today.",amazon
Victorian Farm,s189,TV Show,Sin Dato,"Ruth Goodman, Alex Langlands, Peter Ginn",,2009,TV-14,1,Documentary,Historian Ruth Goodman and archaeologists Alex Langlands and Peter Ginn go back in time to relive the day-to-day life of a Victorian farmer.,amazon
Vets in Action,s191,TV Show,Sin Dato,Kym Marsh,,2008,13+,1,"Documentary, Special Interest","These vets are dedicated to saving the lives of animals big and small working from for extraordinary practices in the north of England. They are on called 24 hours a day 365 days a year, always ready to care for any animal.",amazon
Very Superstitious with George Lopez,s192,TV Show,Sin Dato,"George Lopez, Harris Jacqueline Matherne",,2018,TV-14,1,"Documentary, Drama, Unscripted","In Very Superstitious with George Lopez, George goes across the country to cities and small towns to show the many ways we're all alike... through our superstitions.",amazon
Vella Raja (Tamil),s195,TV Show,Sin Dato,,,2018,16+,1,"Drama, International, Suspense",The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?,amazon
Vella Raja (Hindi),s196,TV Show,Sin Dato,,,2018,16+,1,"Action, International",The cat and mouse game begins with Theresa’s posting in Chennai. Her vow to clean up the city from drugs leads her to Deva. Deva’s drive to be the drug lord is paved with murders and politics. People who enter Bava Lodge on that day are caught in the crossfire of deceit and betrayal between Deva and Theresa. Who will survive in the lodge? Will Theresa be able to catch Deva and end the drug war?,amazon
Vatican Miracle Examiner,s198,TV Show,Sin Dato,,,2017,TV-14,1,"Anime, Drama, International","Two priests charged with traveling the world to validate ""miracles"" find themselves tangled in events filled with deceit. As members of the Assembly of Saints, Robert Nicholas and Kou Hiraga seek the truth behind the supposed works of God.",amazon
Vanity Fair,s199,TV Show,Sin Dato,"Olivia Cooke, Claudia Jessie, Tom Bateman, Johnny Flynn, Michael Palin",,2018,13+,1,Drama,"In a world where everyone is striving for what is not worth having, no one is more determined to climb to the heights of English Society than Miss Rebecca Sharp.",amazon
Utopia,s207,TV Show,Sin Dato,"John Cusack, Rainn Wilson, Sasha Lane",United States,2020,16+,1,"Drama, Suspense","Utopia is a conspiracy thriller that follows a group of young fans who come together when they discover that the conspiracy in an elusive comic, Utopia, is real. The comic foretells the demise of humanity and the world as we know it, thrusting this group of underdogs to embark on a high-stakes twisted adventure to use what they uncover to save themselves, each other and ultimately humanity.",amazon
UQ Holder!,s212,TV Show,Sin Dato,,,2017,TV-14,1,"Action, Adventure, Anime","With his powers awakened,Tota's life gets more interesting when he joins a secret society fellow immortals: UQ Holder.",amazon
Upload,s213,TV Show,Sin Dato,"Robbie Amell, Andy Allo, Allegra Edwards, Zainab Johnson, Kevin Bigley, Chloe Coleman",United States,2020,16+,1,Comedy,"From the Emmy-winning Greg Daniels (The Office, Parks & Rec) comes a hilarious new sci-fi comedy. In the future people can upload their consciousness to a luxurious digital afterlife. When party boy Nathan gets uploaded to a virtual resort he meets the down-to-earth Nora who starts as his customer service “angel”, but becomes so much more as she helps him find friendship, love and purpose.",amazon
Unforgotten,s216,TV Show,Sin Dato,"Nicola Walker, Sanjeev Bhaskar, James Fleet, Alex Jennings, Kevin McNally, Neil Morrissey, Peter Egan, Jordan Long, Carolina Main, Lewis Reeves",,2019,TV-MA,3,Suspense,"Cassie and Sunny connect the human remains found by a highway to Hayley Reid, a 16-year-old girl who went missing on the eve of the millennium. Cassie is determined to fix the mistakes made in the past, no matter the personal cost.",amazon
Undone,s217,TV Show,Sin Dato,"Rosa Salazar, Angelique Cabral, Constance Marie, Siddharth Dhananjay, Daveed Diggs, Bob Odenkirk",United States,2019,16+,1,"Animation, Drama","UNDONE is a half-hour, genre-bending, animated series that explores the elastic nature of reality through its central character Alma, a twenty-eight-year-old living in San Antonio, Texas. After getting into a car accident and nearly dying, Alma finds she has a new relationship to time. She develops this new ability in order to find out the truth about her father’s death.",amazon
Under the Power,s224,TV Show,Sin Dato,"Allen Ren, Seven Tan, Han Dong",,2019,TV-14,1,"Drama, Romance","Yuan Jinxia, a talented female constable of Department Six, gets to know Lu Yi, a member of Embroidered Uniform Guard, and start to work with him to find the lost government funds. As time goes by, the two fall in love with each other, however the past of their families builds up a wide gap between them. Finally they are able to overcome the difficulties and be together.",amazon
Undeniable,s227,TV Show,Sin Dato,"Claire Goose, Peter Firth, Felix Scott, Pippa Haywood",,2014,16+,1,"Drama, Suspense","25 years after witnessing her mother's murder, Jane notices a doctor who looks like her mother's killer. No on believes her - except one cop.",amazon
Uncle,s230,TV Show,Sin Dato,"Nick Helm, Elliot Speller-Gillott, Daisy Haggard, Con O'Neill, Esther Smith, Daniel Lawrence Taylor, Sydney Rae White",United Kingdom,2014,TV-14,2,Comedy,"The series picks up a year later, and Andy is no longer gigging or writing songs, having resigned himself to work at Carpet Brothers. He's boozing and drugging heavily. Because of the restraining order, he meets Errol in secret and the only contact they have is eating junk and playing video games in his depressing flat.",amazon
Uncharted Waters with Peter Miller,s231,TV Show,Sin Dato,Peter Miller,,2020,TV-PG,2,"Special Interest, Sports","3 Time World Sailfish Champion, Peter Miller, travels the globe in search of the most highly sought after game fish. Along the way Peter takes a dive into the local flair that makes each location so colorful, taking viewers on a journey filled with culinary gems, candid conversations, new cultures and some of the best watering holes.",amazon
